Event,Place,Entry,Lane,Time,Margin
#75 Mens Youth 4x Final 1 (07:55:00) Official,2,"Los Gatos A (Kramer, M.) ",3,06:23.391,02.262
#75 Mens Youth 4x Final 1 (07:55:00) Official,3,Artemis,4,06:28.391,07.262
#75 Mens Youth 4x Final 1 (07:55:00) Official,4,"Redwood Scullers A (Vaksman, C.) ",5,06:28.685,07.556
#75 Mens Youth 4x Final 1 (07:55:00) Official,5,Maritime RC A,2,06:32.516,11.387
#75 Mens Youth 4x Final 1 (07:55:00) Official,6,Texas RC A,7,06:34.760,13.631
#75 Mens Youth 4x Final 1 (07:55:00) Official,7,"Long Beach Junior Crew (Griffin, T.) ",6,06:42.165,21.036
#76 Womens U16 8+ Final 1 (08:03:00) Official,1,"Marin (Ellington, B.) ",1,07:26.392,
#76 Womens U16 8+ Final 1 (08:03:00) Official,2,Newport Sea Base,2,07:46.783,20.391
#76 Womens U16 8+ Final 1 (08:03:00) Official,3,Norcal Crew,3,08:00.210,33.818
#76 Womens U16 8+ Final 1 (08:03:00) Official,4,"CCHS Crew (Galluccio, S.) ",4,08:17.068,50.676
#77 Mens U16 8+ Rose Cup Final 1 (08:11:00) Official,1,"Marin (Fasano, N.) ",1,06:43.635,
#77 Mens U16 8+ Rose Cup Final 1 (08:11:00) Official,2,Pacific,2,06:49.099,05.464
#77 Mens U16 8+ Rose Cup Final 1 (08:11:00) Official,3,Norcal Crew,5,06:59.175,15.540
#77 Mens U16 8+ Rose Cup Final 1 (08:11:00) Official,4,"Long Beach Junior Crew (Price, K.) ",3,07:03.744,20.109
#77 Mens U16 8+ Rose Cup Final 1 (08:11:00) Official,5,Dallas United,4,07:51.635,01:08.000
#78 Womens U16 Ulster Challenge Cup 4x+ Final 1 (08:19:00) Official,1,Maritime RC,1,08:03.337,
#78 Womens U16 Ulster Challenge Cup 4x+ Final 1 (08:19:00) Official,2,"Redwood Scullers (Naveen, A.) ",2,08:25.479,22.142
#78 Womens U16 Ulster Challenge Cup 4x+ Final 1 (08:19:00) Official,3,Norcal Crew,3,09:56.990,01:53.653
#79 Mens U16 4x+ Final 1 (08:27:00) Official,1,OARS,2,07:36.130,
#79 Mens U16 4x+ Final 1 (08:27:00) Official,2,Newport Sea Base,1,07:37.180,01.050
#79 Mens U16 4x+ Final 1 (08:27:00) Official,3,Norcal Crew,5,08:02.720,26.590
#79 Mens U16 4x+ Final 1 (08:27:00) Official,4,"CCHS Crew (MacNab, J.) ",4,08:07.380,31.250
#79 Mens U16 4x+ Final 1 (08:27:00) Official,5,Lake Las Vegas,3,08:37.640,01:01.510
#80 Womens U17 4x Final 2 (08:35:00) Official,1,Norcal Crew,1,08:24.585,
#80 Womens U17 4x Final 2 (08:35:00) Official,2,Lake Las Vegas,2,08:31.940,07.355
#81 Womens U17 4x Final 1 (08:43:00) Official,1,"Redwood Scullers A (PETRI, O.) ",1,07:34.117,
#81 Womens U17 4x Final 1 (08:43:00) Official,2,"Los Gatos (Sivi, A.) ",3,07:41.354,07.237
#81 Womens U17 4x Final 1 (08:43:00) Official,3,Connecticut,2,07:45.981,11.864
#81 Womens U17 4x Final 1 (08:43:00) Official,4,Maritime RC,6,07:53.292,19.175
#81 Womens U17 4x Final 1 (08:43:00) Official,5,"Redwood Scullers B (Khawaja, F.) ",4,08:05.021,30.904
#81 Womens U17 4x Final 1 (08:43:00) Official,6,Texas RC,5,08:05.354,31.237
#82 Mens U17 4x Final 2 (08:51:00) Official,1,"Los Gatos B (Yoo, D.) ",2,07:16.570,
#82 Mens U17 4x Final 2 (08:51:00) Official,2,"Austin (Engler, G.) ",1,09:14.410,01:57.840
#83 Mens U17 4x Final 1 (08:59:00) Official,1,Maritime RC A,1,06:46.337,
#83 Mens U17 4x Final 1 (08:59:00) Official,2,Maritime RC B,2,06:52.977,06.640
#83 Mens U17 4x Final 1 (08:59:00) Official,3,"Los Gatos A (Shetler, L.) ",3,06:53.366,07.029
#83 Mens U17 4x Final 1 (08:59:00) Official,4,OARS,6,06:58.053,11.716
#83 Mens U17 4x Final 1 (08:59:00) Official,5,"Redwood Scullers (Gurenkov, D.) ",4,06:59.533,13.196
#83 Mens U17 4x Final 1 (08:59:00) Official,6,"River City (Davids, B.) ",5,07:16.189,29.852
#84 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Final 1 (09:19:00) Official,1,Texas Austin,1,06:26.265,
#84 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Final 1 (09:19:00) Official,2,California,2,06:32.803,06.538
#84 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Final 1 (09:19:00) Official,3,"Washington (Cossill, E.) ",3,06:34.660,08.395
#84 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Final 1 (09:19:00) Official,4,USC,4,06:37.234,10.969
#84 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Final 1 (09:19:00) Official,5,UCLA,5,06:46.825,20.560
#85 Mens Collegiate Varsity Copley Cup (09:27:00) Official,1,A.S.R. Nereus,2,06:07.045,
#85 Mens Collegiate Varsity Copley Cup (09:27:00) Official,2,Marist,4,06:12.148,05.103
#85 Mens Collegiate Varsity Copley Cup (09:27:00) Official,3,Gonzaga,5,06:13.205,06.160
#85 Mens Collegiate Varsity Copley Cup (09:27:00) Official,4,Bates,6,06:13.718,06.673
#85 Mens Collegiate Varsity Copley Cup (09:27:00) Official,5,UC San Diego,3,06:14.055,07.010
#85 Mens Collegiate Varsity Copley Cup (09:27:00) Official,6,San Diego,1,06:18.168,11.123
#86 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Final 1 (09:35:00) Official,1,Purdue,2,07:07.750,
#86 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Final 1 (09:35:00) Official,2,U of Calgary RC,3,07:13.136,05.386
#86 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Final 1 (09:35:00) Official,3,UC Santa Barbara,1,07:19.636,11.886
#86 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Final 1 (09:35:00) Official,4,Colorado,4,07:47.886,40.136
#87 Womens Collegiate Varsity UCSD Health Cal Cup Final 2 (09:43:00) Official,1,"Old Dominion (Carlisle, A.) ",1,07:00.093,
#87 Womens Collegiate Varsity UCSD Health Cal Cup Final 2 (09:43:00) Official,2,Portland,5,07:06.692,06.599
#87 Womens Collegiate Varsity UCSD Health Cal Cup Final 2 (09:43:00) Official,3,Loyola Marymount,3,07:07.398,07.305
#87 Womens Collegiate Varsity UCSD Health Cal Cup Final 2 (09:43:00) Official,4,"MIT (LTWT) (Love, K.) ",2,07:09.195,09.102
#87 Womens Collegiate Varsity UCSD Health Cal Cup Final 2 (09:43:00) Official,5,Marist,6,07:12.074,11.981
#87 Womens Collegiate Varsity UCSD Health Cal Cup Final 2 (09:43:00) Official,6,Bates,4,07:13.403,13.310
#87 Womens Collegiate Varsity UCSD Health Cal Cup Final 2 (09:43:00) Official,7,"SeattleU (Logan, C.) ",7,07:15.374,15.281
#88 Womens Collegiate Varsity UCSD Health Cal Cup Final 1 (09:51:00) Official,1,Stanford,2,06:42.827,
#88 Womens Collegiate Varsity UCSD Health Cal Cup Final 1 (09:51:00) Official,2,Gonzaga,4,06:50.269,07.442
#88 Womens Collegiate Varsity UCSD Health Cal Cup Final 1 (09:51:00) Official,3,"Sacramento St (YOUNG, H.) ",6,06:56.598,13.771
#88 Womens Collegiate Varsity UCSD Health Cal Cup Final 1 (09:51:00) Official,4,Oklahoma,3,07:00.189,17.362
#88 Womens Collegiate Varsity UCSD Health Cal Cup Final 1 (09:51:00) Official,5,UC San Diego,5,07:02.600,19.773
#88 Womens Collegiate Varsity UCSD Health Cal Cup Final 1 (09:51:00) Official,6,San Diego,1,07:03.166,20.339
#88 Womens Collegiate Varsity UCSD Health Cal Cup Final 1 (09:51:00) Official,7,MIT,7,07:04.163,21.336
#89 Mens Collegiate Varsity Active&Fit Cal Cup Final 2 (09:59:00) Official,1,UC Davis,2,06:32.777,
#89 Mens Collegiate Varsity Active&Fit Cal Cup Final 2 (09:59:00) Official,2,Long Beach St,1,06:34.512,01.735
#89 Mens Collegiate Varsity Active&Fit Cal Cup Final 2 (09:59:00) Official,3,Loyola Marymount,3,06:36.278,03.501
#89 Mens Collegiate Varsity Active&Fit Cal Cup Final 2 (09:59:00) Official,4,Colorado,4,06:49.375,16.598
#90 Mens Collegiate Varsity Active&Fit Cal Cup Final 1 (10:07:00) Official,1,Purdue,4,06:13.694,
#90 Mens Collegiate Varsity Active&Fit Cal Cup Final 1 (10:07:00) Official,2,UCLA,3,06:14.026,00.332
#90 Mens Collegiate Varsity Active&Fit Cal Cup Final 1 (10:07:00) Official,3,"Marietta (Puntarelli, G.) ",2,06:18.555,04.861
#90 Mens Collegiate Varsity Active&Fit Cal Cup Final 1 (10:07:00) Official,4,MIT,1,06:21.609,07.915
#90 Mens Collegiate Varsity Active&Fit Cal Cup Final 1 (10:07:00) Official,5,Orange Coast,5,06:26.606,12.912
#90 Mens Collegiate Varsity Active&Fit Cal Cup Final 1 (10:07:00) Official,6,UC Santa Barbara,6,06:26.921,13.227
#91 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (10:15:00) Official,1,San Diego,1,08:13.206,
#91 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (10:15:00) Official,2,UC San Diego,2,08:21.280,08.074
#91 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (10:15:00) Official,3,MIT,3,08:23.126,09.920
#91 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (10:15:00) Official,4,Portland,6,08:24.843,11.637
#91 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (10:15:00) Official,5,"Sacramento St (Nixon, B.) ",5,08:33.284,20.078
#91 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (10:15:00) Official,6,"Old Dominion (Hoff, A.) ",4,08:34.173,20.967
#92 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (10:23:00) Official,1,Texas Austin,2,07:27.748,
#92 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (10:23:00) Official,2,USC,1,07:32.532,04.784
#92 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (10:23:00) Official,3,California,4,07:39.908,12.160
#92 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (10:23:00) Official,4,"Washington (McNamara-Smith, C.) ",3,07:49.702,21.954
#92 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (10:23:00) Official,5,Oklahoma,5,08:02.271,34.523
#92 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (10:23:00) Official,6,Gonzaga,6,08:02.917,35.169
#92 Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (10:23:00) Official,7,UCLA,7,08:07.788,40.040
#93 Mens Collegiate 3V Final 1 (10:31:00) Official,1,UC San Diego,1,06:40.187,
#93 Mens Collegiate 3V Final 1 (10:31:00) Official,2,MIT,2,06:58.073,17.886
#93 Mens Collegiate 3V Final 1 (10:31:00) Official,3,Bates,3,07:06.489,26.302
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,1,UC San Diego,2,07:16.052,
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,2,San Diego,1,07:16.209,00.157
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,3,"Sacramento St (Goddard, W.) ",3,07:16.237,00.185
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,4,Loyola Marymount,4,07:18.507,02.455
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,5,MIT,6,07:23.437,07.385
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,6,Marist,5,07:24.238,08.186
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,7,Bates,8,07:26.372,10.320
#94 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (10:39:00) Official,8,Portland,7,07:27.532,11.480
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,1,Texas Austin,2,06:42.947,
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,2,California,1,06:45.242,02.295
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,3,"Washington (Bryant, M.) ",4,06:49.583,06.636
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,4,USC,3,06:51.055,08.108
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,5,Stanford,6,07:02.893,19.946
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,6,UCLA,5,07:06.018,23.071
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,7,Gonzaga,8,07:07.152,24.205
#95 Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (10:47:00) Official,8,Oklahoma,7,07:14.563,31.616
#96 Mens Collegiate 2V Sharp Memorial Cup Final 2 (10:55:00) Official,1,MIT,1,06:41.156,
#96 Mens Collegiate 2V Sharp Memorial Cup Final 2 (10:55:00) Official,2,UCLA,3,06:45.183,04.027
#96 Mens Collegiate 2V Sharp Memorial Cup Final 2 (10:55:00) Official,3,Bates,2,06:51.676,10.520
#96 Mens Collegiate 2V Sharp Memorial Cup Final 2 (10:55:00) Official,4,Colorado,4,08:16.375,01:35.219
#97 Mens Collegiate 2V Sharp Memorial Cup Final 1 (11:03:00) Official,1,UC San Diego,2,06:23.397,
#97 Mens Collegiate 2V Sharp Memorial Cup Final 1 (11:03:00) Official,2,Marist,4,06:24.050,00.653
#97 Mens Collegiate 2V Sharp Memorial Cup Final 1 (11:03:00) Official,3,Purdue,1,06:30.926,07.529
#97 Mens Collegiate 2V Sharp Memorial Cup Final 1 (11:03:00) Official,4,Gonzaga,3,06:31.160,07.763
#97 Mens Collegiate 2V Sharp Memorial Cup Final 1 (11:03:00) Official,5,"Marietta (McWhite, J.) ",6,06:35.766,12.369
#97 Mens Collegiate 2V Sharp Memorial Cup Final 1 (11:03:00) Official,6,San Diego,5,06:37.123,13.726
#98 Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (11:11:00) Official,1,"Washington (Fehling, B.) ",1,07:15.833,
#98 Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (11:11:00) Official,2,UCLA,2,07:23.787,07.954
#98 Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (11:11:00) Official,3,British Columbia,3,07:26.214,10.381
#98 Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (11:11:00) Official,4,San Diego,4,07:27.519,11.686
#98 Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (11:11:00) Official,5,Oklahoma,5,07:33.913,18.080
#98 Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (11:11:00) Official,6,Loyola Marymount,6,08:16.928,01:01.095
#99 Mens Collegiate Novice Derek Guelker Memorial Cup Final 2 (11:19:00) Official,1,"UC Davis (Mohamad Khani, A.) ",2,07:06.402,
#99 Mens Collegiate Novice Derek Guelker Memorial Cup Final 2 (11:19:00) Official,2,Colorado,4,07:14.482,08.080
#99 Mens Collegiate Novice Derek Guelker Memorial Cup Final 2 (11:19:00) Official,3,SDSU - Men,3,07:16.931,10.529
#99 Mens Collegiate Novice Derek Guelker Memorial Cup Final 2 (11:19:00) Official,4,Long Beach St,1,07:23.033,16.631
#100 Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (11:27:00) Official,1,Orange Coast,1,06:34.897,
#100 Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (11:27:00) Official,2,UCLA,2,06:37.931,03.034
#100 Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (11:27:00) Official,3,"Southern California (Labounko, T.) ",4,06:44.768,09.871
#100 Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (11:27:00) Official,4,U of Calgary RC,6,07:07.845,32.948
#100 Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (11:27:00) Official,5,Loyola Marymount,3,07:08.235,33.338
#100 Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (11:27:00) Official,6,UC Santa Barbara,5,07:14.503,39.606
#101 Womens 8+ Alumni Susan Francia Trophy Final 1 (11:35:00) Official,1,Brown Women,1,07:26.971,
#101 Womens 8+ Alumni Susan Francia Trophy Final 1 (11:35:00) Official,2,SDSU,4,07:37.060,10.089
#101 Womens 8+ Alumni Susan Francia Trophy Final 1 (11:35:00) Official,3,"San Diego (Ahlman, S.) ",2,07:41.275,14.304
#101 Womens 8+ Alumni Susan Francia Trophy Final 1 (11:35:00) Official,4,UC San Diego,5,07:45.358,18.387
#101 Womens 8+ Alumni Susan Francia Trophy Final 1 (11:35:00) Official,5,UCSB Alumni,3,08:06.817,39.846
#102 Mens 8+ Alumni Cup Final 1 (11:43:00) Official,1,"Butte (Holmes, A.) ",2,06:31.816,
#102 Mens 8+ Alumni Cup Final 1 (11:43:00) Official,2,Isla Vista A,3,06:38.164,06.348
#102 Mens 8+ Alumni Cup Final 1 (11:43:00) Official,3,Club Nautico De San Juan,1,06:44.275,12.459
#102 Mens 8+ Alumni Cup Final 1 (11:43:00) Official,4,Isla Vista B,4,07:08.818,37.002
#103 Mens Collegiate Novice 8+ B EntrieS Final 1 (11:51:00) Official,1,Orange Coast,1,06:51.622,
#103 Mens Collegiate Novice 8+ B EntrieS Final 1 (11:51:00) Official,2,UCLA,2,06:54.136,02.514
#103 Mens Collegiate Novice 8+ B EntrieS Final 1 (11:51:00) Official,3,UC Davis [Exhibition],5,07:24.876,33.254
#103 Mens Collegiate Novice 8+ B EntrieS Final 1 (11:51:00) Official,4,UC Santa Barbara,3,07:57.706,01:06.084
#103 Mens Collegiate Novice 8+ B EntrieS Final 1 (11:51:00) Official,5,SDSU - Men,6,08:30.281,01:38.659
#103 Mens Collegiate Novice 8+ B EntrieS Final 1 (11:51:00) Official,-,Southern California,4,DNS,
#104 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 2 (11:59:00) Official,1,BIAC,2,07:51.394,07:30.194 HC(age:50 -00:21.200),
#104 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 2 (11:59:00) Official,2,"Station L (Walker, S.) ",4,07:54.016,07:32.816 HC(age:50 -00:21.200),02.622
#104 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 2 (11:59:00) Official,3,"Sammamish (Kovaly, J.) ",1,08:23.705,07:45.305 HC(age:58 -00:38.400),15.111
#104 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 2 (11:59:00) Official,4,"Vancouver (Riley, P.) ",3,07:53.690,07:46.890 HC(age:40 -00:06.800),16.696
#104 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 2 (11:59:00) Official,5,Martha's Moms,6,09:07.796,08:00.596 HC(age:68 -01:07.200),30.402
#104 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 2 (11:59:00) Official,6,"Lake Union (Werner, J.) ",5,08:15.871,08:14.871 HC(age:32 -00:01.000),44.677
#105 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 1 (12:07:00) Official,1,Sarasota,3,07:31.882,07:04.882 HC(age:53 -00:27.000)
#105 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 1 (12:07:00) Official,2,Long Beach,1,07:28.808,07:07.608 HC(age:50 -00:21.200),02.726
#105 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 1 (12:07:00) Official,3,"College Club Seattle (Scull, C.) ",5,07:35.362,07:14.162 HC(age:50 -00:21.200),09.280
#105 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 1 (12:07:00) Official,4,Martha's Moms,7,07:59.780,07:23.780 HC(age:57 -00:36.000),18.898
#105 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 1 (12:07:00) Official,5,Texas RC,4,07:28.654,07:24.654 HC(age:37 -00:04.000),19.772
#105 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 1 (12:07:00) Official,6,"Sammamish (Teschke, J.) ",2,07:42.974,07:28.574 HC(age:46 -00:14.400),23.692
#105 Womens Masters 8+ Club Champ Thalia Kelly Considine Cup Final 1 (12:07:00) Official,7,"Rogue Rowing (Rimov, C.) ",6,08:23.469,07:54.269 HC(age:54 -00:29.200),49.387
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,1,Riverside,6,06:35.977,,
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,2,Texas RC,2,06:50.556,06:36.156 HC(age:46 -00:14.400),00.179
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,3,"Station L (Glasfeld, A.) ",8,07:01.534,06:36.534 HC(age:52 -00:25.000),00.557
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,4,"Lake Union (Tan, A.) ",4,06:46.008,06:45.408 HC(age:31 -00:00.600),09.431
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,5,"Crimson Death Barge (Caughey, T.) ",1,07:14.500,06:51.500 HC(age:51 -00:23.000),15.523
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,6,"Potomac (DeLo, C.) ",5,07:05.771,06:56.771 HC(age:42 -00:09.000),20.794
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,7,"Potomac (Merchant, W.) ",3,06:57.451,21.474,
#106 Mens Masters 8+ Club Champ Final 2 (12:15:00) Official,8,BIAC,7,06:59.248,23.271,
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,1,"Cambridge (Pierce, J.) ",1,06:53.751,06:07.551 HC(age:61 -00:46.200),
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,2,"Marin (Aguiar, M.) ",2,06:50.185,06:14.185 HC(age:57 -00:36.000),06.634
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,3,"San Diego (Kapicka, M.) ",3,07:00.647,06:17.047 HC(age:60 -00:43.600),09.496
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,4,"Sammamish (Senenko, W.) ",5,06:44.167,06:24.767 HC(age:49 -00:19.400),17.216
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,5,Riverside,7,06:27.785,20.234,
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,6,"Rocky Mountain (Springer, G.) ",4,07:18.597,06:29.597 HC(age:62 -00:49.000),22.046
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,7,"East Bay (Scott, H.) ",8,06:37.985,06:33.185 HC(age:38 -00:04.800),25.634
#107 Mens Masters 8+ Club Champ Final 1 (12:23:00) Official,8,"North Dakota (McCabe, C.) ",6,06:56.561,06:33.561 HC(age:51 -00:23.000),26.010
#108 Womens Open 8+ Carley Copley Cup Final 1 (12:31:00) Official,1,Texas Austin,1,06:49.725,
#108 Womens Open 8+ Carley Copley Cup Final 1 (12:31:00) Official,2,California,2,06:55.070,05.345
#108 Womens Open 8+ Carley Copley Cup Final 1 (12:31:00) Official,3,"Washington (Adebiyi, A.) ",3,06:57.571,07.846
#108 Womens Open 8+ Carley Copley Cup Final 1 (12:31:00) Official,4,Baja California St,4,07:12.359,22.634
#108 Womens Open 8+ Carley Copley Cup Final 1 (12:31:00) Official,5,USC,5,07:18.310,28.585
#108 Womens Open 8+ Carley Copley Cup Final 1 (12:31:00) Official,6,U of Calgary RC,6,07:23.919,34.194
#108 Womens Open 8+ Carley Copley Cup Final 1 (12:31:00) Official,7,Bates,7,07:55.302,01:05.577
#109 Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC Final 1 (12:39:00) Official,1,Butte,2,06:17.580,
#109 Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC Final 1 (12:39:00) Official,2,Baja California St,1,06:20.331,02.751
#109 Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC Final 1 (12:39:00) Official,3,U of Calgary RC,4,06:36.734,19.154
#109 Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC Final 1 (12:39:00) Official,4,Long Beach St,3,06:44.442,26.862
#110 Womens Collegiate 4+ B entries Final 1 (13:24:00) Official,1,Gonzaga,2,07:25.596,
#110 Womens Collegiate 4+ B entries Final 1 (13:24:00) Official,2,San Diego,1,07:44.740,19.144
#110 Womens Collegiate 4+ B entries Final 1 (13:24:00) Official,3,Oklahoma,3,07:48.140,22.544
#110 Womens Collegiate 4+ B entries Final 1 (13:24:00) Official,4,UC San Diego,4,08:13.608,48.012
#111 Womens Collegiate DII/DIII Club 4+ Final 1 (13:32:00) Official,1,Colorado,3,07:48.727,
#111 Womens Collegiate DII/DIII Club 4+ Final 1 (13:32:00) Official,2,UC Santa Barbara,2,08:31.336,42.609
#111 Womens Collegiate DII/DIII Club 4+ Final 1 (13:32:00) Official,3,"Long Beach St (Valtierra, L.) ",1,09:30.205,01:41.478
#112 Womens Collegiate DII/DIII/Club Novice Final 1 (13:40:00) Official,1,Orange Coast,1,07:23.666,
#112 Womens Collegiate DII/DIII/Club Novice Final 1 (13:40:00) Official,2,U of Calgary RC,2,07:37.491,13.825
#112 Womens Collegiate DII/DIII/Club Novice Final 1 (13:40:00) Official,3,UC Santa Barbara A,3,07:39.540,15.874
#112 Womens Collegiate DII/DIII/Club Novice Final 1 (13:40:00) Official,4,Colorado,5,07:41.580,17.914
#112 Womens Collegiate DII/DIII/Club Novice Final 1 (13:40:00) Official,5,UC Santa Barbara B,4,08:30.572,01:06.906
#113 Mens Collegiate Ltwt Secretary of the Navy Cup Final 1 (13:48:00) Official,1,MIT,1,06:11.096,
#113 Mens Collegiate Ltwt Secretary of the Navy Cup Final 1 (13:48:00) Official,2,UC Santa Barbara,2,07:06.246,55.150
#114 Womens Youth Gilman-Mulliken Cup Final 2 (13:56:00) Official,1,Norcal Crew,2,06:57.100,
#114 Womens Youth Gilman-Mulliken Cup Final 2 (13:56:00) Official,2,Marina Aquatic Center,3,07:04.663,07.563
#114 Womens Youth Gilman-Mulliken Cup Final 2 (13:56:00) Official,3,"Dallas United (Rodriguez, E.) ",4,07:08.894,11.794
#114 Womens Youth Gilman-Mulliken Cup Final 2 (13:56:00) Official,4,Sammamish,6,07:09.666,12.566
#114 Womens Youth Gilman-Mulliken Cup Final 2 (13:56:00) Official,5,Pacific,5,07:11.955,14.855
#114 Womens Youth Gilman-Mulliken Cup Final 2 (13:56:00) Official,6,Long Beach Junior Crew,1,07:16.017,18.917
#115 Womens Youth Gilman-Mulliken Cup Final 1 (14:04:00) Official,1,"Marin (Lermusiaux, J.) ",2,06:33.200,
#115 Womens Youth Gilman-Mulliken Cup Final 1 (14:04:00) Official,2,Newport,3,06:42.780,09.580
#115 Womens Youth Gilman-Mulliken Cup Final 1 (14:04:00) Official,3,Capital,5,06:48.140,14.940
#115 Womens Youth Gilman-Mulliken Cup Final 1 (14:04:00) Official,4,Saugatuck,6,06:51.790,18.590
#115 Womens Youth Gilman-Mulliken Cup Final 1 (14:04:00) Official,5,Connecticut,1,06:56.860,23.660
#115 Womens Youth Gilman-Mulliken Cup Final 1 (14:04:00) Official,6,San Diego RC,4,06:59.390,26.190
#116 Mens Youth San Diego Rowing Cup Final 2 (14:12:00) Official,1,OARS,1,06:01.512,
