Event #,Trophy,Event,Heat,Place,Boat,Time
69,,Mens Varsity High School 4x Final 2 (07:36:00) Official,,2,"Long Beach Junior Crew (Chakos, L.)",06:38.709
69,,Mens Varsity High School 4x Final 2 (07:36:00) Official,,3,"Utah (Carlebach, D.)",06:50.913
69,,Mens Varsity High School 4x Final 2 (07:36:00) Official,,4,"Newport Sea Base Rowing (Kallins, D.)",06:54.603
69,,Mens Varsity High School 4x Final 2 (07:36:00) Official,,5,"Redwood Scullers C (Cho, A.)",07:00.523
69,,Mens Varsity High School 4x Final 2 (07:36:00) Official,,,,
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,1,"New Canaan Crew A (Hooper, N.)",06:27.938
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,2,"Redwood Scullers A (Almogy, I.)",06:31.854
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,3,"Redwood Scullers B (Howe, K.)",06:33.590
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,4,"OKC Riversport (Gallagher, J.)",06:36.706
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,5,"Seattle Scullers (Heid, M.)",06:39.844
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,6,"New Canaan Crew B (Daly, Q.)",06:40.374
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,7,"Texas Rowing Center (Barrera-Waters, A.)",06:43.112
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,8,Vashon Island (Torsten Ormseth),06:44.004
70,,Mens Varsity High School 4x Final 1 (07:44:00) Official,,,,
71,,Womens HS Novice Final 2 (07:52:00) Official,,1,Long Beach Junior Crew,07:28.913
71,,Womens HS Novice Final 2 (07:52:00) Official,,2,Newport B,07:34.599
71,,Womens HS Novice Final 2 (07:52:00) Official,,3,San Diego RC,07:39.447
71,,Womens HS Novice Final 2 (07:52:00) Official,,4,Los Gatos,07:42.569
71,,Womens HS Novice Final 2 (07:52:00) Official,,5,CCHS Crew,08:03.831
71,,Womens HS Novice Final 2 (07:52:00) Official,,6,OKC Riversport,08:26.465
71,,Womens HS Novice Final 2 (07:52:00) Official,,,,
72,,Womens HS Novice Final 1 (08:00:00) Official,,1,Marin,07:10.780
72,,Womens HS Novice Final 1 (08:00:00) Official,,2,Newport A,07:13.810
72,,Womens HS Novice Final 1 (08:00:00) Official,,3,Marina Aquatic Center,07:14.512
72,,Womens HS Novice Final 1 (08:00:00) Official,,4,Norcal Crew,07:16.872
72,,Womens HS Novice Final 1 (08:00:00) Official,,5,Capital,07:18.372
72,,Womens HS Novice Final 1 (08:00:00) Official,,6,Pacific,07:23.740
72,,Womens HS Novice Final 1 (08:00:00) Official,,7,Sammamish Rowing Association,07:26.918
72,,Womens HS Novice Final 1 (08:00:00) Official,,8,Oakland Strokes,07:39.122
72,,Womens HS Novice Final 1 (08:00:00) Official,,,,
73,,Mens HS Novice Final 2 (08:08:00) Official,,1,"Newport Sea Base Rowing (Rybus, S.)",06:38.817
73,,Mens HS Novice Final 2 (08:08:00) Official,,2,Jesuit College Prep of Dallas,06:52.511
73,,Mens HS Novice Final 2 (08:08:00) Official,,3,Pacific,06:52.689
73,,Mens HS Novice Final 2 (08:08:00) Official,,4,Marina Aquatic Center,06:55.859
73,,Mens HS Novice Final 2 (08:08:00) Official,,5,OKC Riversport,07:08.481
73,,Mens HS Novice Final 2 (08:08:00) Official,,,,
74,,Mens HS Novice Final 1 (08:16:00) Official,,1,Newport,06:27.989
74,,Mens HS Novice Final 1 (08:16:00) Official,,2,Capital,06:31.605
74,,Mens HS Novice Final 1 (08:16:00) Official,,3,Oakland Strokes,06:34.947
74,,Mens HS Novice Final 1 (08:16:00) Official,,4,Sammamish Rowing Association,06:36.441
74,,Mens HS Novice Final 1 (08:16:00) Official,,5,Long Beach Junior Crew,06:36.885
74,,Mens HS Novice Final 1 (08:16:00) Official,,6,San Diego RC,06:43.827
74,,Mens HS Novice Final 1 (08:16:00) Official,,7,Norcal Crew,06:47.247
74,,Mens HS Novice Final 1 (08:16:00) Official,,8,"Los Gatos (Renner, J.)",06:47.277
74,,Mens HS Novice Final 1 (08:16:00) Official,,,,
75,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (08:24:00) Official,,1,SDSU,07:34.301
75,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (08:24:00) Official,,2,"Washington State (Barrett, E.)",07:37.239
75,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (08:24:00) Official,,3,Loyola Marymount,07:37.465
75,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (08:24:00) Official,,4,San Diego,07:41.599
75,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (08:24:00) Official,,5,"Gonzaga (Davey, G.)",07:43.233
75,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (08:24:00) Official,,6,Tennessee - Women,07:45.005
75,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 2 (08:24:00) Official,,,,
76,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (08:32:00) Official,,1,"Washington (Drapp, H.)",07:14.751
76,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (08:32:00) Official,,2,Stanford - Women,07:19.127
76,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (08:32:00) Official,,3,Oklahoma,07:19.523
76,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (08:32:00) Official,,4,Texas Austin,07:19.965
76,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (08:32:00) Official,,5,California,07:24.131
76,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (08:32:00) Official,,6,UCLA,07:27.513
76,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 1 (08:32:00) Official,,,,
77,,Womens Collegiate Varsity DII/III/Club Final 1 (08:40:00) Official,,1,UC Santa Barbara,06:58.314
77,,Womens Collegiate Varsity DII/III/Club Final 1 (08:40:00) Official,,2,Purdue,07:06.489
77,,Womens Collegiate Varsity DII/III/Club Final 1 (08:40:00) Official,,3,West Point,07:12.038
77,,Womens Collegiate Varsity DII/III/Club Final 1 (08:40:00) Official,,4,U of Calgary RC,07:16.336
77,,Womens Collegiate Varsity DII/III/Club Final 1 (08:40:00) Official,,5,"UC Davis (Quillen, R.)",07:19.512
77,,Womens Collegiate Varsity DII/III/Club Final 1 (08:40:00) Official,,6,UC Irvine,07:24.894
77,,Womens Collegiate Varsity DII/III/Club Final 1 (08:40:00) Official,,,,
78,,Mens Collegiate 3V Final 1 (08:48:00) Official,,1,California,06:16.965
78,,Mens Collegiate 3V Final 1 (08:48:00) Official,,2,UC San Diego,06:27.195
78,,Mens Collegiate 3V Final 1 (08:48:00) Official,,3,Santa Clara,06:44.835
78,,Mens Collegiate 3V Final 1 (08:48:00) Official,,4,UC Santa Barbara,06:48.659
78,,Mens Collegiate 3V Final 1 (08:48:00) Official,,5,UC Davis,06:48.757
78,,Mens Collegiate 3V Final 1 (08:48:00) Official,,,,
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,1,Texas Austin,06:59.358
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,2,"Washington (Anderson-Kundig, S.)",07:05.076
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,3,UCLA,07:21.524
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,4,Oklahoma,07:28.294
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,5,Sacramento State,07:28.340
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,6,University of Wisconsin,07:30.020
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,7,UC San Diego,08:08.448
79,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Final 1 (08:56:00) Official,,,,
80,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 2 (09:04:00) Cancelled,,,,
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,1,California,06:25.114
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,2,Orange Coast,06:27.870
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,3,UC Santa Barbara,06:53.326
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,4,SDSU - Men (Alex Ortiz),06:56.936
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,5,Southern California,06:58.658
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,6,UCLA,07:00.846
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,7,UC Davis,07:06.036
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,8,Long Beach State Rowing,07:10.126
81,,Mens Collegiate Novice Derek Guelker Memorial Cup Final 1 (09:12:00) Official,,,,
82,,Mens Collegiate 2V Sharp Memorial Cup Final 2 (09:20:00) Official,,1,San Diego,06:50.170
82,,Mens Collegiate 2V Sharp Memorial Cup Final 2 (09:20:00) Official,,2,SDSU - Men,06:59.268
82,,Mens Collegiate 2V Sharp Memorial Cup Final 2 (09:20:00) Official,,,,
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,1,"Yale (Kamp, H.)",05:59.806
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,2,California,06:02.676
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,3,UC San Diego,06:28.054
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,4,Santa Clara,06:31.174
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,5,Boston College,06:32.180
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,6,UC Davis,06:32.842
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,7,Orange Coast,06:35.828
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,8,UC Santa Barbara,06:44.820
83,,Mens Collegiate 2V Sharp Memorial Cup Final 1 (09:28:00) Official,,,,
84,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (09:36:00) Official,,1,Oklahoma,06:58.946
84,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (09:36:00) Official,,2,Sacramento State,07:04.074
84,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (09:36:00) Official,,3,SDSU,07:07.176
84,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (09:36:00) Official,,4,"Gonzaga (Harder, C.)",07:07.638
84,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (09:36:00) Official,,5,Tennessee - Women,07:08.298
84,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (09:36:00) Official,,6,Loyola Marymount,07:10.108
84,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 2 (09:36:00) Official,,,,
85,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (09:44:00) Official,,1,Stanford - Women,06:39.198
85,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (09:44:00) Official,,2,"Washington (Green, M.)",06:41.980
85,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (09:44:00) Official,,3,California,06:44.386
85,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (09:44:00) Official,,4,Texas Austin,06:49.186
85,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (09:44:00) Official,,5,UCLA,06:58.214
85,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (09:44:00) Official,,6,"Washington State (Duthart, M.)",07:11.606
85,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 1 (09:44:00) Official,,,,
86,,2 Women's Varsity UC San Diego Health Cup Final 2 (09:52:00) Official,,1,"University of Wisconsin (D'Souza, G.)",07:00.017
86,,2 Women's Varsity UC San Diego Health Cup Final 2 (09:52:00) Official,,2,UC San Diego,07:05.245
86,,2 Women's Varsity UC San Diego Health Cup Final 2 (09:52:00) Official,,3,Saint Marys (CA),07:08.233
86,,2 Women's Varsity UC San Diego Health Cup Final 2 (09:52:00) Official,,4,Fordham,07:15.703
86,,2 Women's Varsity UC San Diego Health Cup Final 2 (09:52:00) Official,,,,
87,,2 Women's Varsity UC San Diego Health Cup Final 1 (10:00:00) Official,,1,Drexel,06:48.587
87,,2 Women's Varsity UC San Diego Health Cup Final 1 (10:00:00) Official,,2,Loyola Marymount,06:52.525
87,,2 Women's Varsity UC San Diego Health Cup Final 1 (10:00:00) Official,,3,San Diego,06:55.861
87,,2 Women's Varsity UC San Diego Health Cup Final 1 (10:00:00) Official,,4,Sacramento State,06:56.193
87,,2 Women's Varsity UC San Diego Health Cup Final 1 (10:00:00) Official,,5,"Seattle Pacific (Chalfant, M.)",06:57.161
87,,2 Women's Varsity UC San Diego Health Cup Final 1 (10:00:00) Official,,6,Georgetown,06:58.803
87,,2 Women's Varsity UC San Diego Health Cup Final 1 (10:00:00) Official,,,,
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,1,San Diego,06:17.509
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,2,Boston College,06:21.655
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,3,West Point,06:22.899
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,4,Fordham,06:29.119
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,5,Loyola Marymount,06:35.087
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,6,SDSU - Men,06:44.043
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,7,U of Calgary RC,06:52.437
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,8,Long Beach State Rowing,07:28.333
88,,Mens Varsity American Specialty Health Cup Final 2 (10:08:00) Official,,,,
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,1,Purdue,06:04.104
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,2,UC San Diego,06:06.404
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,3,Santa Clara,06:08.248
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,4,MIT,06:12.588
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,5,Orange Coast,06:12.898
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,6,UC Davis,06:13.934
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,7,UC Santa Barbara,06:14.300
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,8,UCLA,06:21.656
89,,Mens Varsity American Specialty Health Cup Final 1 (10:16:00) Official,,,,
90,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 2 (10:24:00) Official,,1,Stanford Lightweight Women,06:52.113
90,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 2 (10:24:00) Official,,2,"Gonzaga (Harder, C.)",06:54.805
90,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 2 (10:24:00) Official,,3,Oklahoma,06:56.563
90,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 2 (10:24:00) Official,,4,Tennessee - Women,06:59.225
90,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 2 (10:24:00) Official,,5,SDSU,07:00.607
90,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 2 (10:24:00) Official,,,,
91,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 1 (10:32:00) Official,,1,California,06:33.434
91,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 1 (10:32:00) Official,,2,Washington,06:35.132
91,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 1 (10:32:00) Official,,3,Texas Austin,06:35.890
91,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 1 (10:32:00) Official,,4,Stanford - Women,06:40.040
91,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 1 (10:32:00) Official,,5,UCLA,06:50.334
91,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 1 (10:32:00) Official,,6,Washington State,06:54.318
91,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Final 1 (10:32:00) Official,,,,
92,,Mens Collegiate Varsity Copley Cup Invitational Final 1 (10:40:00) Official,,1,Yale,05:52.798
92,,Mens Collegiate Varsity Copley Cup Invitational Final 1 (10:40:00) Official,,2,California,05:59.962
92,,Mens Collegiate Varsity Copley Cup Invitational Final 1 (10:40:00) Official,,,,
93,,National Team Exhibition Final 1 (10:48:00) Official,,1,Beijing Bling,03:11.900
93,,National Team Exhibition Final 1 (10:48:00) Official,,2,Babes in the Boat,03:12.800
93,,National Team Exhibition Final 1 (10:48:00) Official,,3,76 Still with Kick,03:20.600
93,,National Team Exhibition Final 1 (10:48:00) Official,,4,Boss Ladies (most powerful women in sport),03:23.100
93,,National Team Exhibition Final 1 (10:48:00) Official,,,,
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,1,Union,08:13.406
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,2,"Newport (Mather, V.)",08:32.142
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,3,Pocock,08:51.204
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,4,Martha's Moms,09:07.642
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,5,"Lake Union (Hobart, M.)",08:29.698
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,6,Sammamish Rowing Association A,08:46.764
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,7,"San Diego RC (Dinsdale, E.)",09:10.472
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,8,"Lake Las Vegas Rowing Club (Stanley, T.)",09:14.838
94,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 2 (11:16:00) Official,,,,
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,1,Potomac,07:38.288
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,2,"College Club Seattle (Scull, C.)",07:58.610
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,3,"S.A.C. (Nelson, H.)",08:27.440
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,4,"Portland BC (Linse, J.)",08:45.210
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,5,Sammamish Rowing Association B,08:17.806
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,6,"Los Gatos (Der Haar, E.)",08:21.882
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,7,"Lincoln Park Boat Club (Miller, A.)",08:16.822
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,8,Potomac,08:14.226
95,,Womens Masters Club Champ Thalia Kelly Considine Cup Final 1 (11:24:00) Official,,,,
96,,Mens Masters Club Champ Final 2 (11:32:00) Official,,1,"S.A.C. (Stroud, J.)",07:50.087
96,,Mens Masters Club Champ Final 2 (11:32:00) Official,,2,"San Diego RC (Burns, S.)",07:06.271
96,,Mens Masters Club Champ Final 2 (11:32:00) Official,,3,"Harvard Alum 1992 (Caughey, T.)",07:28.083
96,,Mens Masters Club Champ Final 2 (11:32:00) Official,,4,Lake Union (Martin Heyn),07:29.051
96,,Mens Masters Club Champ Final 2 (11:32:00) Official,,,,
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,1,"Cambridge (Pierce, J.)",07:02.168
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,2,"London (Harries, S.)",06:55.208
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,3,Texas Rowing Center,07:03.448
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,4,"Rocky Mountain (Springer, G.)",07:37.776
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,5,Potomac,06:59.434
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,6,Sammamish Rowing Association,07:24.694
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,7,East Bay (Greg Specht),07:18.072
97,,Mens Masters Club Champ Final 1 (11:40:00) Official,,,,
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,1,"Washington State (Olmsted, O.)",08:08.635
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,2,UCLA,08:19.553
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,3,Oklahoma,08:23.073
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,4,Tennessee - Women,08:27.961
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,5,SDSU,08:31.209
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,6,San Diego,08:59.731
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,7,uc santa barbara,09:20.289
98,,Womens Collegiate 4+ B entries Final Only Final 1 (11:48:00) Official,,,,
99,,Womens DII/DIII/Club Novice Final 1 (11:56:00) Official,,1,"UC Davis (Rushka, E.)",08:17.871
99,,Womens DII/DIII/Club Novice Final 1 (11:56:00) Official,,2,UC Irvine,08:22.021
99,,Womens DII/DIII/Club Novice Final 1 (11:56:00) Official,,3,U of Calgary RC,08:29.599
99,,Womens DII/DIII/Club Novice Final 1 (11:56:00) Official,,4,UC Santa Barbara,08:32.883
99,,Womens DII/DIII/Club Novice Final 1 (11:56:00) Official,,5,Orange Coast,08:47.333
99,,Womens DII/DIII/Club Novice Final 1 (11:56:00) Official,,,,
100,,Mens Collegiate Novice 8+ B Entries Final Only Final 1 (12:04:00) Official,,1,Orange Coast,07:05.772
100,,Mens Collegiate Novice 8+ B Entries Final Only Final 1 (12:04:00) Official,,2,UC Santa Barbara A,07:32.940
100,,Mens Collegiate Novice 8+ B Entries Final Only Final 1 (12:04:00) Official,,3,UCLA,07:46.706
100,,Mens Collegiate Novice 8+ B Entries Final Only Final 1 (12:04:00) Official,,4,UC Santa Barbara B,07:58.134
100,,Mens Collegiate Novice 8+ B Entries Final Only Final 1 (12:04:00) Official,,5,UC Davis,07:58.530
100,,Mens Collegiate Novice 8+ B Entries Final Only Final 1 (12:04:00) Official,,,,
101,,Mens Collegiate Ltwt Secretary of the Navy Cup** Final 1 (12:12:00) Official,,1,Fordham,07:01.166
101,,Mens Collegiate Ltwt Secretary of the Navy Cup** Final 1 (12:12:00) Official,,2,"UC Santa Barbara (Bright, J.)",07:06.546
101,,Mens Collegiate Ltwt Secretary of the Navy Cup** Final 1 (12:12:00) Official,,,,
102,,Womens HS Varsity Gilman­Mulliken Cup Final 2 (12:20:00) Official,,1,Newport,07:21.921
102,,Womens HS Varsity Gilman­Mulliken Cup Final 2 (12:20:00) Official,,2,"Sammamish Rowing Association (Harder, K.)",07:26.629
102,,Womens HS Varsity Gilman­Mulliken Cup Final 2 (12:20:00) Official,,3,OKC Riversport,07:29.671
102,,Womens HS Varsity Gilman­Mulliken Cup Final 2 (12:20:00) Official,,4,"Dallas United Crew (Craycroft, R.)",07:33.539
102,,Womens HS Varsity Gilman­Mulliken Cup Final 2 (12:20:00) Official,,5,Pacific,07:38.615
102,,Womens HS Varsity Gilman­Mulliken Cup Final 2 (12:20:00) Official,,6,Long Beach Junior Crew,07:41.141
102,,Womens HS Varsity Gilman­Mulliken Cup Final 2 (12:20:00) Official,,,,
103,,Womens HS Varsity Gilman­Mulliken Cup Final 1 (12:28:00) Official,,1,Saugatuck (Caitlin Esse),07:12.694
103,,Womens HS Varsity Gilman­Mulliken Cup Final 1 (12:28:00) Official,,2,Capital,07:15.594
103,,Womens HS Varsity Gilman­Mulliken Cup Final 1 (12:28:00) Official,,3,Marin,07:16.886
103,,Womens HS Varsity Gilman­Mulliken Cup Final 1 (12:28:00) Official,,4,Oakland Strokes,07:22.894
103,,Womens HS Varsity Gilman­Mulliken Cup Final 1 (12:28:00) Official,,5,Connecticut,07:25.352
103,,Womens HS Varsity Gilman­Mulliken Cup Final 1 (12:28:00) Official,,6,Marina Aquatic Center,07:27.972
103,,Womens HS Varsity Gilman­Mulliken Cup Final 1 (12:28:00) Official,,,,
104,,Mens HS Varsity Final 2 (12:36:00) Official,,1,Oakland Strokes,06:43.210
104,,Mens HS Varsity Final 2 (12:36:00) Official,,2,Norcal Crew,06:47.816
104,,Mens HS Varsity Final 2 (12:36:00) Official,,3,San Diego RC,06:48.742
104,,Mens HS Varsity Final 2 (12:36:00) Official,,4,"Saugatuck (Schmidt, J.)",06:59.132
104,,Mens HS Varsity Final 2 (12:36:00) Official,,5,Sammamish Rowing Association,06:59.250
104,,Mens HS Varsity Final 2 (12:36:00) Official,,6,"Junipero Serra (Maranghi, J.)",07:17.170
104,,Mens HS Varsity Final 2 (12:36:00) Official,,,,
105,,Mens HS Varsity Final 1 (12:44:00) Official,,1,Capital (Adam Montoya),06:27.853
105,,Mens HS Varsity Final 1 (12:44:00) Official,,2,"Newport (Ruiz, P.)",06:29.587
105,,Mens HS Varsity Final 1 (12:44:00) Official,,3,Marin,06:31.793
105,,Mens HS Varsity Final 1 (12:44:00) Official,,4,Jesuit College Prep of Dallas,06:39.905
105,,Mens HS Varsity Final 1 (12:44:00) Official,,5,Pacific,06:43.161
105,,Mens HS Varsity Final 1 (12:44:00) Official,,6,"Dallas United Crew (Wang, A.)",06:43.251
105,,Mens HS Varsity Final 1 (12:44:00) Official,,,,
106,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 2 (12:52:00) Official,,1,San Diego RC,07:03.718
106,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 2 (12:52:00) Official,,2,Capital,07:16.388
106,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 2 (12:52:00) Official,,3,"Dallas United Crew (Isom, H.)",07:25.364
106,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 2 (12:52:00) Official,,4,Los Gatos,07:27.660
106,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 2 (12:52:00) Official,,5,OKC Riversport,07:33.008
106,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 2 (12:52:00) Official,,6,"Lake Las Vegas Rowing Club (Barnes, B.)",08:00.480
106,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 2 (12:52:00) Official,,,,
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,1,"Belen Jesuit Crew (Rodriguez, J.)",06:48.062
107,,Mens HS Ltwt Shimano Rowing Dynamics Cup Final 1 (13:00:00) Official,,2,Marin,06:50.126
